section,cell,book,iv,tenor_td,strike_off,delta_trig,budget,total_ret,max_dd,win_rate,final_equity,total_pl,n_converted,n_worthless
grid,4mo/ATM/d80/7%/IV80,OPTION,0.8,84,0.0,0.8,0.07,0.2244,-0.0629,0.44,795864,145864,54,21
grid,6mo/ITM5/d90/7%/IV80,OPTION,0.8,126,-0.05,0.9,0.07,0.2224,-0.0482,0.52,794559,144559,59,16
grid,4mo/ATM/d85/7%/IV80,OPTION,0.8,84,0.0,0.85,0.07,0.2187,-0.065,0.44,792154,142154,51,24
grid,3mo/OTM5/d90/7%/IV80,OPTION,0.8,63,0.05,0.9,0.07,0.2144,-0.0669,0.3867,789338,139338,45,30
grid,4mo/OTM5/d90/7%/IV80,OPTION,0.8,84,0.05,0.9,0.07,0.2141,-0.0681,0.4267,789176,139176,49,26
grid,3mo/OTM5/d85/7%/IV80,OPTION,0.8,63,0.05,0.85,0.07,0.2137,-0.0669,0.3867,788906,138906,45,30
grid,9mo/OTM5/d85/7%/IV60,OPTION,0.6,189,0.05,0.85,0.07,0.2134,-0.0445,0.5067,788701,138701,49,26
grid,3mo/OTM5/d80/7%/IV80,OPTION,0.8,63,0.05,0.8,0.07,0.2089,-0.0678,0.3867,785766,135766,46,29
grid,9mo/ITM5/d85/7%/IV60,OPTION,0.6,189,-0.05,0.85,0.07,0.2087,-0.0608,0.4933,785644,135644,54,21
grid,2mo/ITM5/d80/7%/IV80,OPTION,0.8,42,-0.05,0.8,0.07,0.2069,-0.0576,0.3867,784497,134497,56,19
grid,9mo/ATM/d85/7%/IV60,OPTION,0.6,189,0.0,0.85,0.07,0.2046,-0.042,0.4933,782972,132972,52,23
grid,6mo/OTM5/d80/14%/IV80,OPTION,0.8,126,0.05,0.8,0.14,0.2019,-0.0934,0.4533,781256,131256,51,24
grid,9mo/OTM5/d90/7%/IV60,OPTION,0.6,189,0.05,0.9,0.07,0.1971,-0.0575,0.4533,778105,128105,49,26
